Sample_Index,Zone_ID,Cluster_1,Cluster_2,Cluster_3,Cluster_4,Is_Medoid
142,147,0.12631586263709244,0.0004709477579092153,0.001935260165948894,0.8712779294390494,0
143,148,0.1346315809674644,0.4414737125153561,0.3038465627730457,0.12004814374413382,0
144,149,0.10393054761015617,0.00038638625561801846,0.0016125490103198427,0.8940705171239058,0
145,150,0.11512296966864348,0.000469197005275868,0.0017252399520687077,0.882682593374012,0
146,151,0.3411605961823466,0.04512471638958433,0.313480605473025,0.3002340819550441,0
147,152,0.3596020493026387,0.0011684995016346292,0.005997855561064846,0.6332315956346618,0
148,153,0.11908184334396874,0.0004859443155313878,0.0017863298261949676,0.878645882514305,0
149,154,0.11877923165154809,0.00047291847779775347,0.001790671570452262,0.8789571783002019,0
150,155,0.11102306684626287,0.0004185564005120504,0.001625992151810937,0.8869323846014142,0
151,156,0.1202891717499815,0.0004952939996359524,0.0018191581549608972,0.8773963760954218,0
152,157,0.5359493929349702,0.02555207050730639,0.08756771541416387,0.35093082114355945,0
153,158,0.15264014208974575,0.12866817146312245,0.5801841413875958,0.13850754505953597,0
154,159,0.19721944922410903,0.0005708414410929347,0.0028483861384670673,0.7993613231963309,0
155,160,0.14268933300053108,0.0004957910034262428,0.0028337743328904616,0.8539811016631522,0
156,161,0.1214652904309838,0.5506919472279522,0.256541336078831,0.0713014262622329,0
157,162,0.09105752618205334,0.6120914281376807,0.2575353598089863,0.039315685871279656,0
158,163,0.0826432261267745,0.560835929640643,0.32179707126370133,0.034723772968881156,0
159,164,0.0780175942280241,0.459709491841559,0.4236125716415937,0.03866034228882323,0
160,165,0.12576007217628044,0.0004111783091997326,0.0017852927234582887,0.8720434567910614,0
161,166,0.47902900410950017,0.02530536682550605,0.13997118652502613,0.3556944425399677,0
162,167,0.14341424037392564,0.000487646100286649,0.00232625680515485,0.8537718567206328,0
163,168,0.45598165948461167,0.0017183417811559604,0.011061052708036754,0.5312389460261957,0
164,169,0.14727072526026166,0.0004963693314370956,0.0021544746588792606,0.8500784307494219,0
165,170,0.09291640237746099,0.5390368790454466,0.3330061921000898,0.03504052647700255,0
166,171,0.10434835340983531,0.0004048271720749964,0.0015469261616299775,0.8936998932564597,0
167,172,0.12032302075566688,0.0004951784724573885,0.0018189049443417306,0.8773628958275339,0
168,173,0.15688341569006908,0.0005450454001602999,0.0031626439670883514,0.8394088949426823,0
169,174,0.12214954917665094,0.0004378852413287927,0.0017827922741373362,0.8756297733078829,0
170,175,0.10553004761182812,0.000403825831439469,0.0015464920358829895,0.8925196345208495,0
171,176,0.11951875680440799,0.0004925055641285201,0.0018087263745576174,0.8781800112569058,0
172,177,0.274425481557436,0.0008193381969504303,0.004480373215367403,0.7202748070302462,0
173,178,0.11800543126765153,0.00044158657696720594,0.0018069783880912049,0.8797460037672901,0
174,179,0.33411002729481715,0.0010004892856368814,0.005371555317147109,0.6595179281023988,0
175,180,0.14016302675484962,0.00045388388550330266,0.002200358096882545,0.8571827312627647,0
176,181,0.32478824231559894,0.00106372605064198,0.005582768334757644,0.6685652632990015,0
177,182,0.19112399004081387,0.0005713320377688407,0.0026533331583432616,0.805651344763074,0
178,183,0.11368152116156223,0.0004528775831060706,0.0018177400235815208,0.88404786123175,0
179,184,0.11895017291672931,0.0004891925240611297,0.0017968048777643772,0.8787638296814453,0
180,185,0.10963596497328551,0.00036279885185719194,0.0015987319409163916,0.8884025042339408,0
181,186,0.14980993218620992,0.45662926928347936,0.3136285903583843,0.07993220817192638,0
182,187,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
183,188,0.5409452554349875,0.004049371017318404,0.026002815330219333,0.4290025582174748,0
184,189,0.16002669131003552,0.0004974097578056978,0.0025960870367242256,0.8368798118954346,0
185,190,0.11829707036244648,0.0004455094123448416,0.0018239484630938297,0.8794334717621148,0
186,191,0.251717835920934,0.0007924707193502865,0.003673793725337826,0.7438158996343779,0
187,192,0.10190889714147501,0.0004013634315604289,0.0016030574245563668,0.8960866820024082,0
188,193,0.30240880211212134,0.0008464866153699448,0.0044009367850829095,0.6923437744874258,0
189,194,0.1213052616383297,0.000463773436794389,0.00189086545500126,0.8763400994698747,0
190,195,0.48681697488299897,0.004449989934185331,0.015888428260102127,0.49284460692271365,0
191,196,0.1408784775396302,0.0004639376111161247,0.0019769329604659228,0.8566806518887878,0
192,197,0.5453848049241835,0.0053185422319038085,0.024386108195031755,0.42491054464888095,0
193,198,0.4573031588516002,0.0013099188699660928,0.007321564734500596,0.5340653575439331,0
194,199,0.11930066873445745,0.0004916000145091545,0.0018053504139158706,0.8784023808371175,0
195,200,0.10829482490559998,0.00042055566182222536,0.001669005881125909,0.8896156135514519,0
196,201,0.12519640290968134,0.0004784530102832603,0.0019340620066076108,0.8723910820734279,0
197,202,0.11871684157708175,0.00045005417392939755,0.0018206046173088971,0.8790124996316799,0
198,203,0.17848808184598136,0.0006870359032546831,0.0035570736908723654,0.8172678085598917,0
199,204,0.11952482488782817,0.0004925654710150067,0.0018088398702651896,0.8781737697708916,0
200,205,0.20441183650675868,0.0006921054712008681,0.003943320340439876,0.7909527376816007,0
201,206,0.11924162512749917,0.0004910761453621037,0.0018034956440910583,0.8784638030830476,0
202,207,0.11489852033882109,0.0004654095513480119,0.0017115100678864118,0.8829245600419445,0
203,208,0.10625960264646428,0.00040366949795518934,0.0015617482661453236,0.8917749795894351,0
204,209,0.43239068498194855,0.0018941456261077438,0.010434216565048204,0.5552809528268956,0
205,210,0.1182762959211624,0.00042581657058961183,0.0021848337114859034,0.8791130537967621,0
206,211,0.2574006167438412,0.06496999410370442,0.467296506479238,0.21033288267321643,0
207,212,0.16181075301073988,0.0005442626402776018,0.003256400331672369,0.8343885840173102,0
